category,pearson,data1_ratio,data2_ratio,Data Count,category1,new category,Apearson,Adata1_ratio,Adata2_ratio
29:41D-13,0.707361991877459,0.000785634358055998,0.000765251611412907,79964,D-13,29:41D-13,0.702144215303556,0.00893954343627686,0.00874078288017803
30:42D-13,0.707805901068042,0.000869191843335709,0.00084114565761435,79964,D-13,29:41D-13,0.702144215303556,0.00893954343627686,0.00874078288017803
31:43D-13,0.707048252348211,0.000736230356159704,0.00071104827413363,79964,D-13,29:41D-13,0.702144215303556,0.00893954343627686,0.00874078288017803
32:44D-13,0.782902608797813,0.000702027960645993,0.000693913819401192,79964,D-13,29:41D-13,0.702144215303556,0.00893954343627686,0.00874078288017803
33:45D-13,0.771642392473095,0.000725500487399324,0.000703686946910805,79964,D-13,29:41D-13,0.702144215303556,0.00893954343627686,0.00874078288017803
34:46D-13,0.807546838212867,0.000827204143761415,0.000784392064037975,79964,D-13,29:41D-13,0.702144215303556,0.00893954343627686,0.00874078288017803
35:47D-13,0.720107967247014,0.000936837841985384,0.000890497405732129,79964,D-13,29:41D-13,0.702144215303556,0.00893954343627686,0.00874078288017803
36:48D-13,0.631226986364141,0.00107007768330345,0.00105104203932868,79964,D-13,29:41D-13,0.702144215303556,0.00893954343627686,0.00874078288017803
37:49D-13,0.474758316087355,0.000992853242599081,0.000996406322618318,79964,D-13,29:41D-13,0.702144215303556,0.00893954343627686,0.00874078288017803
38:50D-13,0.181336473987836,0.00120380541116524,0.00121568931429805,79964,D-13,29:41D-13,0.702144215303556,0.00893954343627686,0.00874078288017803
39:51D-13,0.0434304216108444,7.73058926011634e-05,7.44710294334441e-05,79964,D-13,29:41D-13,0.702144215303556,0.00893954343627686,0.00874078288017803
40:52D-13,0.00855871591591995,1.28742152646553e-05,1.32383952566555e-05,79964,D-13,29:41D-13,0.702144215303556,0.00893954343627686,0.00874078288017803
21:34D-14,0.537173549893894,6.90401550708632e-05,7.09458869805334e-05,79964,D-14,24:37D-14,0.765552283736304,0.00291624216005835,0.00287699984527186
22:35D-14,0.687968101734024,0.000258031414371806,0.000248309331632186,79964,D-14,24:37D-14,0.765552283736304,0.00291624216005835,0.00287699984527186
23:36D-14,0.735216439769703,0.000744095514546127,0.000729166836474989,79964,D-14,24:37D-14,0.765552283736304,0.00291624216005835,0.00287699984527186
24:37D-14,0.79215680127021,0.00184507507606958,0.00182857779018419,79964,D-14,24:37D-14,0.765552283736304,0.00291624216005835,0.00287699984527186
25:38D-14,0.784990356284395,0.000966229423055132,0.000944829130654724,79964,D-14,25:38D-14,0.721782833845593,0.00468914771354111,0.00455231758363448
26:39D-14,0.731910409101764,0.000712546726585938,0.000684711797533416,79964,D-14,25:38D-14,0.721782833845593,0.00468914771354111,0.00455231758363448
27:40D-14,0.722781782409041,0.000592802797157519,0.000570672625308435,79964,D-14,25:38D-14,0.721782833845593,0.00468914771354111,0.00455231758363448
28:41D-14,0.704781510279439,0.000800511226609893,0.000774277623329397,79964,D-14,25:38D-14,0.721782833845593,0.00468914771354111,0.00455231758363448
29:42D-14,0.627831528292442,0.00085457162785283,0.000817189928714348,79964,D-14,25:38D-14,0.721782833845593,0.00468914771354111,0.00455231758363448
30:43D-14,0.662673430177402,0.000762485912279827,0.000760636478094279,79964,D-14,25:38D-14,0.721782833845593,0.00468914771354111,0.00455231758363448
31:44D-14,0.750154114832319,0.000736130724230288,0.000720360662031668,79964,D-14,31:44D-14,0.632829013064081,0.00625562491340548,0.00613723598809754
32:45D-14,0.709674633355008,0.000640525590743288,0.000635578504316842,79964,D-14,31:44D-14,0.632829013064081,0.00625562491340548,0.00613723598809754
33:46D-14,0.71827462684425,0.000608283028999075,0.000601501145652227,79964,D-14,31:44D-14,0.632829013064081,0.00625562491340548,0.00613723598809754
34:47D-14,0.724655664383426,0.000642285713499792,0.000629071238862024,79964,D-14,31:44D-14,0.632829013064081,0.00625562491340548,0.00613723598809754
35:48D-14,0.673518042748435,0.000794985835559414,0.000752208635136965,79964,D-14,31:44D-14,0.632829013064081,0.00625562491340548,0.00613723598809754
36:49D-14,0.623163141275566,0.000893929425261116,0.000861472224822367,79964,D-14,31:44D-14,0.632829013064081,0.00625562491340548,0.00613723598809754
37:50D-14,0.422105089516534,0.000878127899834847,0.00085419046382513,79964,D-14,31:44D-14,0.632829013064081,0.00625562491340548,0.00613723598809754
38:51D-14,0.162546477003157,0.000982440386114353,0.00100098102786675,79964,D-14,31:44D-14,0.632829013064081,0.00625562491340548,0.00613723598809754
39:52D-14,0.0268315325945323,6.75647379371793e-05,6.76998424170809e-05,79964,D-14,31:44D-14,0.632829013064081,0.00625562491340548,0.00613723598809754
40:53D-14,0.0436202630957728,1.13515712262459e-05,1.4172243166593e-05,79964,D-14,31:44D-14,0.632829013064081,0.00625562491340548,0.00613723598809754
20:34D-15,0.820176806308107,8.73982672658583e-05,9.55211249470257e-05,79964,D-15,23:37D-15,0.794967357843726,0.0025545596146292,0.0025354854431442
21:35D-15,0.724787214395119,0.000245919502950259,0.000244700350399296,79964,D-15,23:37D-15,0.794967357843726,0.0025545596146292,0.0025354854431442
